127.0.0.1 - - [13/May/2015:16:00:31 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:13 +0530] "GET /RIF/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:13 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:13 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:13 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:13 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:24 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [13/May/2015:16:04:25 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [13/May/2015:16:42:47 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:16:42:49 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:16:42:49 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:16:42:49 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:16:42:49 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:16:42:58 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.90 - - [13/May/2015:16:43:08 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:16:43:43 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [13/May/2015:16:47:16 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 236
10.222.4.90 - - [13/May/2015:16:47:18 +0530] "GET /RIF/RULE_EXTRACTION/396662///CLM4001_0024_01_1.java HTTP/1.1" 200 3311
10.222.4.90 - - [13/May/2015:16:47:18 +0530] "GET /RIF/RULE_EXTRACTION/396662/IClaimMedicareEditsImpl.java HTTP/1.1" 200 116733
10.222.4.90 - - [13/May/2015:16:47:19 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestCLM4001_0024_01.java HTTP/1.1" 200 2672
10.222.4.90 - - [13/May/2015:17:19:50 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 236
10.222.4.90 - - [13/May/2015:17:19:52 +0530] "GET /RIF/RULE_EXTRACTION/396662///CLM4001_0024_01_2.java HTTP/1.1" 200 3311
10.222.4.90 - - [13/May/2015:17:19:52 +0530] "GET /RIF/RULE_EXTRACTION/396662/IClaimMedicareEditsImpl.java HTTP/1.1" 200 116733
10.222.4.90 - - [13/May/2015:17:19:53 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestCLM4001_0024_01.java HTTP/1.1" 200 2672
10.222.4.90 - - [13/May/2015:19:06:25 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:19:06:30 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:19:06:30 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:19:06:30 +0530] "GET /RIF/style/table.css HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:19:06:30 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:19:06:49 +0530] "GET /RIF/ HTTP/1.1" 304 -
10.222.4.90 - - [13/May/2015:19:06:54 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [13/May/2015:19:07:17 +0530] "POST /RIF/UploadFile HTTP/1.1" 200 241
10.222.4.90 - - [13/May/2015:19:07:20 +0530] "GET /RIF/RULE_EXTRACTION/396662///CLM5001_0321_01.java HTTP/1.1" 200 4964
10.222.4.90 - - [13/May/2015:19:07:20 +0530] "GET /RIF/RULE_EXTRACTION/396662/RevenueProcedurePricingManager.java HTTP/1.1" 200 92140
10.222.4.90 - - [13/May/2015:19:07:21 +0530] "GET /RIF/RULE_EXTRACTION/396662/TestCLM5001_0321_01.java HTTP/1.1" 200 3481
